Full Lease Abstract,Executive Summary
Definitions,Definitions
What is the legal name of the tenant?,What is the legal name of the tenant?
What is the default rate of interest defined as?,
What is the Lease commencement date?,
What was the First Lease Year?,
What are the Operating Hours defined as?,
What is the Permitted Use defined as?,What is the Permitted Use defined as?
What is the Premises?,What is the Premises?
What is the size of the Premises?,What is the size of the Premises?
What is the Rent Commencement Date?,
What is the Tenant Notice Address?,
What is the Tenant Trade Name?,
,
Article II,
When is the Premises delivery date?,
What is the Condition Delivery of Premises?,
,
Article III,Article III
What is the Term of the Lease?,What is the Term of the Lease?
Is there an Option to Renew and what is it?,Is there an Option to Renew and what is it?
What are the conditions the Tenant must meet to Exercise its Option to Renew?,What are the conditions the Tenant must meet to Exercise its Option to Renew?
,
Article IV,
What is the penalty for violating the operating hours?,
,
Article V,Article V
When is the Base Rental Due?,When is the Base Rental Due?
When is additional rental including percentage rent due?,When is additional rental including percentage rent due?
What is Gross Sales defined as and what is not included in Gross Sales?,
When does the Tenant have to Submit their sales by each week or month?,
What is the penalty for the Tenant not submitting their sales in the time?,
What is the Radius Restriction defined as?,
What is the Security Deposit or Letter of Credit?,
What are the conditions for the Landlord returning the Security Deposit to the Tenant?,
,
Article VII,
What is the Tenant Improvement Timeline defined as?,
,
Article VIII,
What are the provisions for the Tenant's Exterminator Service?,
,
Article IX,Article IX
What are the Landlord's Responsibility to Repair?,What are the Landlord's Responsibility to Repair?
What are the Tenant's Responsibility to Repair?,What are the Tenant's Responsibility to Repair?
Who is responsible for repairing the following in the Premises:,
Structural Repairs to exterior walls,
Roof,
Doors,
Windows,
Damage to Tenant's merchandise or property,
Electrical,
Plumbing,
,
Are there any co-tenancy requirements?,
,
Article XI,
What is the language concerning Exclusive Sponsorship Agreements?,
,
Article XII,
What Utilities are the Tenant Responsible For?,
What Utilities are the Landlord Responsible For?,
"Who is Responsible for the Heating, Ventilatioin and Air Conditioning (HVAC) systems?",
Who is responsible for the Fire Protecion Sprinkler System?,
,
Article XVI,
What are the conditions for Tenant to be allowed to transfer or assign the Lease?,
,
Article XVII,
What is an Event of Default defined as?,
What are the remedies for Default for both Landlord and Tenant?,
,
Article XVIII,
What are the provisions for Landlord to Inspect and Access the space?,
What are the provisions for Relocation?,
What is the Force Majeure Clause defined as?,
,
Exhibit A,
What is the Premises shown as?,
,
Exhibit K,
What are the limits the Tenant must maintain for:,
General Liability,
Workers Compensation,
Contractor's Insurance,
,
Exhibit M,Exhibit M
What is the Base Rent per year and month?,What is the Base Rent per year and month?
What is the Common Area Maintenance per year and month?,What is the Common Area Maintenance per year and month?
What is the Marketing Fee per year and month?,What is the Marketing Fee per year and month?
What is the Percentage Rent charges and breakpoint per year?,What is the Percentage Rent charges and breakpoint per year?
What is the first and final year of each term?,What is the first and final year of each term?
How much does base rent increase each year by percentage?,
How much does Common Area Maintenance (CAM) increase each year by percentage?,
How much does the Marketing Fee increase each year by percentage?,
